Sound,Label
bird1.png,1
bird10.png,1
bird100.png,1
bird101.png,1
bird102.png,1
bird103.png,1
bird104.png,1
bird105.png,1
bird106.png,1
bird107.png,1
bird108.png,1
bird109.png,1
bird11.png,1
bird110.png,1
bird111.png,1
bird112.png,1
bird113.png,1
bird114.png,1
bird115.png,1
bird116.png,1
bird117.png,1
bird118.png,1
bird119.png,1
bird12.png,1
bird120.png,1
bird121.png,1
bird122.png,1
bird123.png,1
bird124.png,1
bird125.png,1
bird126.png,1
bird127.png,1
bird128.png,1
bird129.png,1
bird13.png,1
bird130.png,1
bird131.png,1
bird132.png,1
bird133.png,1
bird134.png,1
bird135.png,1
bird136.png,1
bird137.png,1
bird138.png,1
bird139.png,1
bird14.png,1
bird140.png,1
bird141.png,1
bird142.png,1
bird143.png,1
bird144.png,1
bird145.png,1
bird146.png,1
bird147.png,1
bird148.png,1
bird149.png,1
bird15.png,1
bird150.png,1
bird151.png,1
bird152.png,1
bird153.png,1
bird154.png,1
bird155.png,1
bird156.png,1
bird157.png,1
bird158.png,1
bird159.png,1
bird16.png,1
bird160.png,1
bird161.png,1
bird162.png,1
bird163.png,1
bird164.png,1
bird165.png,1
bird166.png,1
bird167.png,1
bird168.png,1
bird169.png,1
bird17.png,1
bird170.png,1
bird171.png,1
bird172.png,1
bird173.png,1
bird174.png,1
bird175.png,1
bird176.png,1
bird177.png,1
bird178.png,1
bird179.png,1
bird18.png,1
bird180.png,1
bird181.png,1
bird182.png,1
bird183.png,1
bird184.png,1
bird185.png,1
bird186.png,1
bird187.png,1
bird188.png,1
bird189.png,1
bird19.png,1
bird190.png,1
bird191.png,1
bird192.png,1
bird193.png,1
bird194.png,1
bird195.png,1
bird196.png,1
bird197.png,1
bird198.png,1
bird199.png,1
bird2.png,1
bird20.png,1
bird200.png,1
bird201.png,1
bird202.png,1
bird203.png,1
bird204.png,1
bird205.png,1
bird206.png,1
bird207.png,1
bird208.png,1
bird209.png,1
bird21.png,1
bird210.png,1
bird211.png,1
bird212.png,1
bird213.png,1
bird214.png,1
bird215.png,1
bird216.png,1
bird217.png,1
bird218.png,1
bird219.png,1
bird22.png,1
bird220.png,1
bird221.png,1
bird222.png,1
bird223.png,1
bird224.png,1
bird225.png,1
bird226.png,1
bird227.png,1
bird228.png,1
bird229.png,1
bird23.png,1
bird230.png,1
bird231.png,1
bird232.png,1
bird233.png,1
bird234.png,1
bird235.png,1
bird236.png,1
bird237.png,1
bird238.png,1
bird239.png,1
bird24.png,1
bird240.png,1
bird241.png,1
bird242.png,1
bird243.png,1
bird244.png,1
bird245.png,1
bird246.png,1
bird247.png,1
bird248.png,1
bird249.png,1
bird25.png,1
bird250.png,1
bird251.png,1
bird252.png,1
bird253.png,1
bird254.png,1
bird255.png,1
bird256.png,1
bird257.png,1
bird258.png,1
bird259.png,1
bird26.png,1
bird260.png,1
bird261.png,1
bird262.png,1
bird263.png,1
bird264.png,1
bird265.png,1
bird266.png,1
bird267.png,1
bird268.png,1
bird269.png,1
bird27.png,1
bird270.png,1
bird271.png,1
bird272.png,1
bird273.png,1
bird274.png,1
bird275.png,1
bird276.png,1
bird277.png,1
bird278.png,1
bird279.png,1
bird28.png,1
bird280.png,1
bird281.png,1
bird282.png,1
bird283.png,1
bird284.png,1
bird285.png,1
bird286.png,1
bird287.png,1
bird288.png,1
bird289.png,1
bird29.png,1
bird290.png,1
bird291.png,1
bird292.png,1
bird293.png,1
bird294.png,1
bird295.png,1
bird296.png,1
bird297.png,1
bird298.png,1
bird299.png,1
bird3.png,1
bird30.png,1
bird300.png,1
bird301.png,1
bird302.png,1
bird303.png,1
bird304.png,1
bird305.png,1
bird306.png,1
bird307.png,1
bird308.png,1
bird309.png,1
bird31.png,1
bird310.png,1
bird311.png,1
bird312.png,1
bird313.png,1
bird314.png,1
bird315.png,1
bird316.png,1
bird317.png,1
bird318.png,1
bird319.png,1
bird32.png,1
bird320.png,1
bird321.png,1
bird322.png,1
bird323.png,1
bird324.png,1
bird325.png,1
bird326.png,1
bird327.png,1
bird328.png,1
bird329.png,1
bird33.png,1
bird330.png,1
bird331.png,1
bird332.png,1
bird333.png,1
bird334.png,1
bird335.png,1
bird336.png,1
bird337.png,1
bird338.png,1
bird339.png,1
bird34.png,1
bird340.png,1
bird341.png,1
bird342.png,1
bird343.png,1
bird344.png,1
bird345.png,1
bird346.png,1
bird347.png,1
bird348.png,1
bird349.png,1
bird35.png,1
bird350.png,1
bird351.png,1
bird352.png,1
bird353.png,1
bird354.png,1
bird355.png,1
bird356.png,1
bird357.png,1
bird358.png,1
bird359.png,1
bird36.png,1
bird360.png,1
bird361.png,1
bird362.png,1
bird363.png,1
bird364.png,1
bird365.png,1
bird366.png,1
bird367.png,1
bird368.png,1
bird369.png,1
bird37.png,1
bird370.png,1
bird371.png,1
bird372.png,1
bird373.png,1
